var_p	var_s	variation	string	resp1	resp2	log_odds	gcm
2	0.3	cselekszenek/cselekednek	bejz	13	14	-0.06899287148695143	0.11051846526720202
2	0.3	cselekszenek/cselekednek	bötőrz	16	11	0.3483066942682158	0.10007425233707738
2	0.3	cselekszenek/cselekednek	brálaml	16	10	0.4353180712578455	0.10904541195782583
2	0.3	cselekszenek/cselekednek	braṉl	17	12	0.32542240043462795	0.11495095879063245
2	0.3	cselekszenek/cselekednek	brárl	14	12	0.14310084364067324	0.11481447701904472
2	0.3	cselekszenek/cselekednek	bratárz	5	21	-1.2992829841302609	0.0980101938466479
2	0.3	cselekszenek/cselekednek	bregz	17	10	0.49247648509779424	0.1071264303795847
2	0.3	cselekszenek/cselekednek	brešl	14	13	0.06899287148695142	0.11367922168454433
2	0.3	cselekszenek/cselekednek	bribašl	11	16	-0.3483066942682157	0.1073137332729509
2	0.3	cselekszenek/cselekednek	bribéks	13	16	-0.1941560144409575	0.10544463496159166
2	0.3	cselekszenek/cselekednek	brilegz	15	11	0.28768207245178085	0.10285989363827348
2	0.3	cselekszenek/cselekednek	brivágl	11	15	-0.2876820724517809	0.1081914090017842
2	0.3	cselekszenek/cselekednek	brivakl	12	15	-0.2076393647782445	0.10914279226760823
2	0.3	cselekszenek/cselekednek	briveps	19	7	0.9162907318741552	0.10575532451811136
2	0.3	cselekszenek/cselekednek	brözl	14	13	0.06899287148695142	0.11177176120265012
2	0.3	cselekszenek/cselekednek	brűkl	14	12	0.14310084364067324	0.11295652066016779
2	0.3	cselekszenek/cselekednek	brülöšl	13	14	-0.06899287148695143	0.10481986998897674
2	0.3	cselekszenek/cselekednek	brürz	12	14	-0.1431008436406733	0.10456365788332275
2	0.3	cselekszenek/cselekednek	brüsl	12	15	-0.2076393647782445	0.11357311001486131
2	0.3	cselekszenek/cselekednek	bügz	18	9	0.6418538861723947	0.10959284924941727
2	0.3	cselekszenek/cselekednek	čibagz	8	19	-0.7985076962177716	0.1044357783937884
2	0.3	cselekszenek/cselekednek	čubz	20	9	0.7419373447293773	0.10948355658360609
2	0.3	cselekszenek/cselekednek	dabz	13	16	-0.1941560144409575	0.1093306043002388
2	0.3	cselekszenek/cselekednek	dáraks	15	14	0.06453852113757116	0.11163255033810236
2	0.3	cselekszenek/cselekednek	dibágl	16	13	0.1941560144409574	0.11326275912857774
2	0.3	cselekszenek/cselekednek	dilakl	11	18	-0.4595323293784402	0.11341762403393035
2	0.3	cselekszenek/cselekednek	diráṉl	13	14	-0.06899287148695143	0.11372281341134867
2	0.3	cselekszenek/cselekednek	dirl	13	13	0	0.11819461239409114
2	0.3	cselekszenek/cselekednek	döjl	17	9	0.5877866649021191	0.11822099131964348
2	0.3	cselekszenek/cselekednek	dralágz	16	10	0.4353180712578455	0.10243907884356908
2	0.3	cselekszenek/cselekednek	drilarz	10	16	-0.4353180712578455	0.10250408510981283
2	0.3	cselekszenek/cselekednek	drivegz	10	16	-0.4353180712578455	0.1012500246641088
2	0.3	cselekszenek/cselekednek	drojz	17	12	0.32542240043462795	0.10596600792208308
2	0.3	cselekszenek/cselekednek	drűrz	11	16	-0.3483066942682157	0.10486035901821368
2	0.3	cselekszenek/cselekednek	dujz	16	11	0.3483066942682158	0.10990408295130888
2	0.3	cselekszenek/cselekednek	filáṉl	13	13	0	0.11385449894840248
2	0.3	cselekszenek/cselekednek	flátl	11	15	-0.2876820724517809	0.11621660372033181
2	0.3	cselekszenek/cselekednek	fleml	10	19	-0.5978370007556204	0.11802269647551089
2	0.3	cselekszenek/cselekednek	fleréks	17	12	0.32542240043462795	0.10944791018267133
2	0.3	cselekszenek/cselekednek	flézl	11	18	-0.4595323293784402	0.11526061741818945
2	0.3	cselekszenek/cselekednek	flivegz	11	16	-0.3483066942682157	0.10213234257080114
