variation	alpha_upper	alpha_lower	glm	term	estimate	std.error	statistic	p.value
cselekszenek/cselekednek	0.25	0.25		mgl_score	6.3492446390731185	1.3554458387553174	4.684248132631785	2.8098944769340256e-6
cselekszenek/cselekednek	0.25	0.5		mgl_score	6.3492446390731185	1.3554458387553174	4.684248132631785	2.8098944769340256e-6
cselekszenek/cselekednek	0.25	0.75		mgl_score	6.3492446390731185	1.3554458387553174	4.684248132631785	2.8098944769340256e-6
cselekszenek/cselekednek	0.25	0.9		mgl_score	6.506692175259919	1.3234282919962623	4.916543053077103	8.808583275851956e-7
cselekszenek/cselekednek	0.5	0.25		mgl_score	4.439841956981784	1.1632482314452801	3.816762267040366	1.3521433752629257e-4
cselekszenek/cselekednek	0.5	0.5		mgl_score	4.439841956981784	1.1632482314452801	3.816762267040366	1.3521433752629257e-4
cselekszenek/cselekednek	0.5	0.75		mgl_score	4.625336869520006	1.1429403336760116	4.046875180827372	5.1905901033964e-5
cselekszenek/cselekednek	0.5	0.9		mgl_score	4.505417748439627	1.0918960723727456	4.126233130090052	3.687534637711419e-5
cselekszenek/cselekednek	0.75	0.25		mgl_score	2.9103923028962044	0.9852691051087088	2.953905981427367	0.003137795845763202
cselekszenek/cselekednek	0.75	0.5		mgl_score	3.0740869124918726	0.9713675643573345	3.1646999810269723	0.001552429372060297
cselekszenek/cselekednek	0.75	0.75		mgl_score	3.1114871449820094	0.9435877144692332	3.2975070544789964	9.754722416978852e-4
cselekszenek/cselekednek	0.75	0.9		mgl_score	3.1185630977346954	0.9438900721286873	3.3039473449504824	9.533373616610047e-4
cselekszenek/cselekednek	0.9	0.25		mgl_score	1.6753198117064418	0.7774494670027917	2.1548922249121896	0.031170268957948898
cselekszenek/cselekednek	0.9	0.5		mgl_score	1.7619024965160746	0.7654561281019613	2.3017680985648643	0.02134825350699326
cselekszenek/cselekednek	0.9	0.75		mgl_score	1.7719404821972857	0.7660983161883624	2.3129413611210894	0.020725863357797858
cselekszenek/cselekednek	0.9	0.9		mgl_score	1.7719404821972857	0.7660983161883624	2.3129413611210894	0.020725863357797858
hotelban/hotelben	0.25	0.25		mgl_score	2.4888195735524223	0.47130166071286617	5.2807358450381106	1.286660825862042e-7
hotelban/hotelben	0.25	0.5		mgl_score	1.4176501065182658	0.5131787523117373	2.7624879247866745	0.005736268356701561
hotelban/hotelben	0.25	0.75		mgl_score	1.3722990285237342	0.5695260872284169	2.4095455138885558	0.015972403692037847
hotelban/hotelben	0.25	0.9		mgl_score	1.3947834532864238	0.5623196313758895	2.4804103848795984	0.013123124667548232
hotelban/hotelben	0.5	0.25		mgl_score	2.0693392193804763	0.45885519069055636	4.509787099207081	6.489271799337278e-6
hotelban/hotelben	0.5	0.5		mgl_score	1.6684672404704786	0.5239082581228411	3.184655356356822	0.0014492649598240727
hotelban/hotelben	0.5	0.75		mgl_score	1.1132783376645161	0.5240203636128632	2.1244944184783363	0.03362882228351609
hotelban/hotelben	0.5	0.9		mgl_score	1.274157993546498	0.5166047626471735	2.466407756323207	0.013647587512827183
hotelban/hotelben	0.75	0.25		mgl_score	2.09745274748284	0.4582388096752968	4.577204512575164	4.712307213317472e-6
hotelban/hotelben	0.75	0.5		mgl_score	1.1974000499354025	0.47678050075120626	2.51142831564798	0.012024370437471763
hotelban/hotelben	0.75	0.75		mgl_score	1.0594150900442116	0.47325022305850906	2.2385939581759766	0.02518234772126787
hotelban/hotelben	0.75	0.9		mgl_score	1.1253209633341732	0.4508378865488892	2.496065652220075	0.012557935688205043
hotelban/hotelben	0.9	0.25		mgl_score	1.5114797437508007	0.41872881639568793	3.609686471452424	3.0656732618529947e-4
hotelban/hotelben	0.9	0.5		mgl_score	1.016618433247765	0.42731015932674993	2.3791113107385553	0.01735443460434618
hotelban/hotelben	0.9	0.75		mgl_score	1.0030596027191399	0.4088122725537471	2.4535946449290273	0.01414363144855143
hotelban/hotelben	0.9	0.9		mgl_score	0.9947163675215532	0.40884031690777456	2.4330192654310547	0.014973504167753962
lakok/lakom	0.25	0.25		mgl_score	4.1805129944322825	0.2729706924355663	15.314878520957251	6.08254177761742e-53
lakok/lakom	0.25	0.5		mgl_score	3.994252399629554	0.27386415449976964	14.584794446448498	3.509775203251719e-48
lakok/lakom	0.25	0.75		mgl_score	4.00246065570231	0.27520123024963344	14.543760040867918	6.397964939048824e-48
lakok/lakom	0.25	0.9		mgl_score	4.103474080615706	0.2807079236289616	14.61830513213321	2.1467822131893392e-48
lakok/lakom	0.5	0.25		mgl_score	3.7663727230910156	0.26131351268218583	14.413233684060362	4.2722966137463534e-47
lakok/lakom	0.5	0.5		mgl_score	3.776487096153254	0.26316051637201404	14.35050800255561	1.0575969940966898e-46
lakok/lakom	0.5	0.75		mgl_score	3.865063470292153	0.26810847022790135	14.416043875848894	4.101900942027052e-47
lakok/lakom	0.5	0.9		mgl_score	3.865063470292153	0.26810847022790135	14.416043875848894	4.101900942027052e-47
lakok/lakom	0.75	0.25		mgl_score	3.4921898103573494	0.24752361348330992	14.108511754547497	3.366068039484634e-45
lakok/lakom	0.75	0.5		mgl_score	3.566439134605836	0.2517866892271879	14.164526113562053	1.5188805281815683e-45
lakok/lakom	0.75	0.75		mgl_score	3.566439134605836	0.2517866892271879	14.164526113562053	1.5188805281815683e-45
lakok/lakom	0.75	0.9		mgl_score	3.566439134605836	0.2517866892271879	14.164526113562053	1.5188805281815683e-45
lakok/lakom	0.9	0.25		mgl_score	3.254975411884486	0.23408312708492515	13.905211590511536	5.889244572360888e-44
lakok/lakom	0.9	0.5		mgl_score	3.254975411884486	0.23408312708492515	13.905211590511536	5.889244572360888e-44
lakok/lakom	0.9	0.75		mgl_score	3.254975411884486	0.23408312708492515	13.905211590511536	5.889244572360888e-44
lakok/lakom	0.9	0.9		mgl_score	3.254975411884486	0.23408312708492515	13.905211590511536	5.889244572360888e-44
