A	B	C	D	rule
ik	ek	ked	#	ik → ek / ked__#
ik	ek	ed	#	ik → ek / ed__#
ik	ek		#	ik → ek / __#
ik	ek	ešked	#	ik → ek / ešked__#
ik	ek	šked	#	ik → ek / šked__#
ik	ek	tešked	#	ik → ek / tešked__#
ik	ek	tlenked	#	ik → ek / tlenked__#
ik	ek	étlenked	#	ik → ek / étlenked__#
ik	ek	enked	#	ik → ek / enked__#
ik	ek	lenked	#	ik → ek / lenked__#
ik	ek	ešed	#	ik → ek / ešed__#
ik	ek	elmešed	#	ik → ek / elmešed__#
ik	ek	mešed	#	ik → ek / mešed__#
ik	ek	ez	#	ik → ek / ez__#
ik	ek	z	#	ik → ek / z__#
ik	ek	sked	#	ik → ek / sked__#
ik	ek	ésked	#	ik → ek / ésked__#
ik	ek	űvésked	#	ik → ek / űvésked__#
ik	ek	kez	#	ik → ek / kez__#
ik	ek	peked	#	ik → ek / peked__#
ik	ek	eked	#	ik → ek / eked__#
ik	ek	s	#	ik → ek / s__#
ik	ek	edz	#	ik → ek / edz__#
ik	ek	edelmešked	#	ik → ek / edelmešked__#
ik	ek	mešked	#	ik → ek / mešked__#
ik	ek	elmešked	#	ik → ek / elmešked__#
ik	ek	edez	#	ik → ek / edez__#
ik	ek	dez	#	ik → ek / dez__#
ik	ek	nešed	#	ik → ek / nešed__#
ik	ek	etlenked	#	ik → ek / etlenked__#
ik	ek	detlenked	#	ik → ek / detlenked__#
ik	ek	ezked	#	ik → ek / ezked__#
ik	ek	zked	#	ik → ek / zked__#
ik	ek	gešked	#	ik → ek / gešked__#
ik	ek	ékez	#	ik → ek / ékez__#
ik	ek	tkez	#	ik → ek / tkez__#
ik	ek	esked	#	ik → ek / esked__#
ik	ek	iz	#	ik → ek / iz__#
ik	ek	ened	#	ik → ek / ened__#
ik	ek	tlened	#	ik → ek / tlened__#
ik	ek	ekez	#	ik → ek / ekez__#
ik	ek	tekez	#	ik → ek / tekez__#
ik	ek	tetlenked	#	ik → ek / tetlenked__#
ik	ek	rkez	#	ik → ek / rkez__#
ik	ek	ṉked	#	ik → ek / ṉked__#
ik	ek	éṉešked	#	ik → ek / éṉešked__#
ik	ek	éz	#	ik → ek / éz__#
ik	ek	vešked	#	ik → ek / vešked__#
ik	ek	egešked	#	ik → ek / egešked__#
ik	ek	lletlenked	#	ik → ek / lletlenked__#
ik	ek	cked	#	ik → ek / cked__#
ik	ek	rked	#	ik → ek / rked__#
ik	ek	elešked	#	ik → ek / elešked__#
ik	ek	eḏešked	#	ik → ek / eḏešked__#
ik	ek	ḏešked	#	ik → ek / ḏešked__#
ik	ek	ḏetlenked	#	ik → ek / ḏetlenked__#
ik	ek	metlenked	#	ik → ek / metlenked__#
ik	ek	éṉed	#	ik → ek / éṉed__#
ik	ek	kéṉešked	#	ik → ek / kéṉešked__#
ik	ek	erešked	#	ik → ek / erešked__#
ik	ek	leked	#	ik → ek / leked__#
ik	ek	endez	#	ik → ek / endez__#
ik	ek	ešelked	#	ik → ek / ešelked__#
ik	ek	lked	#	ik → ek / lked__#
ik	ek	eged	#	ik → ek / eged__#
ik	ek	sešed	#	ik → ek / sešed__#
ik	ek	telenked	#	ik → ek / telenked__#
ik	ek	vešelked	#	ik → ek / vešelked__#
ik	ek	ješed	#	ik → ek / ješed__#
ik	em	ked	#	ik → em / ked__#
ik	em		#	ik → em / __#
ik	em	ed	#	ik → em / ed__#
ik	em	enked	#	ik → em / enked__#
ik	em	nked	#	ik → em / nked__#
ik	em	ešked	#	ik → em / ešked__#
ik	em	gešked	#	ik → em / gešked__#
ik	em	s	#	ik → em / s__#
ik	em	gs	#	ik → em / gs__#
ik	em	egs	#	ik → em / egs__#
ik	em	elked	#	ik → em / elked__#
ik	em	lked	#	ik → em / lked__#
ik	em	velked	#	ik → em / velked__#
ik	em	élked	#	ik → em / élked__#
