segment1	segment2	dist
ä	ä	0
ä	ā	0.5967741935483871
ä	æ	0.4126984126984127
ä	b	0.9575757575757575
ä	c	0.9745762711864406
ä	č	0.9739130434782609
ä	d	0.9818181818181818
ä	ð	0.9803921568627451
ä	e	0.693069306930693
ä	ē	0.524390243902439
ä	ɛ	0.8173076923076923
ä	f	0.9485294117647058
ä	g	0.9705882352941176
ä	h	0.8688524590163934
ä	i	0.8131868131868132
ä	ī	0.7407407407407407
ä	ɨ	0.8764044943820225
ä	ʝ	0.9758064516129032
ä	k	0.9694656488549618
ä	l	0.9385964912280702
ä	m	0.9401709401709402
ä	n	0.9824561403508771
ä	ŋ	0.97
ä	o	0.8877551020408163
ä	O	0.7746478873239436
ä	ō	0.8539325842696629
ä	œ	0.4385964912280702
ä	ɔ	0.8243243243243243
ä	p	0.954248366013072
ä	r	0.9385964912280702
ä	s	0.9732142857142857
ä	š	0.976
ä	t	0.9788732394366197
ä	u	0.935483870967742
ä	ū	0.9186046511627907
ä	v	0.948905109489051
ä	ʌ	0.8431372549019608
ä	w	0.9555555555555556
ä	x	0.9710144927536232
ä	y	0.89
ä	z	0.9788732394366197
ä	ž	0.9765625
ä	θ	0.9803921568627451
ā	ä	0.5967741935483871
ā	ā	0
ā	æ	0.7285714285714286
ā	b	0.9810126582278481
ā	c	0.9908256880733946
ā	č	0.9905660377358491
ā	d	0.9935897435897436
ā	ð	0.9930555555555556
ā	e	0.8476190476190476
ā	ē	0.7777777777777778
ā	ɛ	0.9019607843137255
ā	f	0.9767441860465116
ā	g	0.9512195121951219
ā	h	0.9327731092436975
ā	i	0.8977272727272727
ā	ī	0.8625
ā	ɨ	0.7464788732394366
ā	ʝ	0.991304347826087
ā	k	0.9491525423728814
ā	l	0.9719626168224299
ā	m	0.9727272727272728
ā	n	0.9938271604938271
ā	ŋ	0.9545454545454546
ā	o	0.8192771084337349
ā	O	0.5384615384615384
ā	ō	0.7361111111111112
ā	œ	0.7419354838709677
ā	ɔ	0.6896551724137931
ā	p	0.9794520547945206
ā	r	0.9719626168224299
ā	s	0.9902912621359223
ā	š	0.9913793103448276
ā	t	0.9924812030075187
ā	u	0.8860759493670887
ā	ū	0.8450704225352113
ā	v	0.9769230769230769
ā	ʌ	0.7261904761904762
ā	w	0.922077922077922
ā	x	0.952
ā	y	0.9361702127659575
ā	z	0.9924812030075187
ā	ž	0.9915966386554622
ā	θ	0.9930555555555556
æ	ä	0.4126984126984127
æ	ā	0.7285714285714286
æ	æ	0
æ	b	0.9580838323353293
æ	c	0.975
æ	č	0.9743589743589743
æ	d	0.9820359281437125
æ	ð	0.9806451612903225
æ	e	0.5274725274725275
æ	ē	0.6630434782608696
æ	ɛ	0.75
æ	f	0.9492753623188406
æ	g	0.9710144927536232
æ	h	0.8709677419354839
æ	i	0.735632183908046
æ	ī	0.8045977011494253
æ	ɨ	0.9032258064516129
æ	ʝ	0.9761904761904762
æ	k	0.9699248120300752
æ	l	0.9396551724137931
æ	m	0.9411764705882353
æ	n	0.9826589595375722
æ	ŋ	0.9705882352941176
æ	o	0.84375
æ	O	0.8289473684210527
æ	ō	0.8817204301075269
æ	œ	0.6
æ	ɔ	0.7464788732394366
æ	p	0.9548387096774194
æ	r	0.9396551724137931
æ	s	0.9736842105263158
æ	š	0.9763779527559056
æ	t	0.9791666666666666
æ	u	0.9139784946236559
æ	ū	0.9325842696629214
