lemma	stem	lemma_freq	stem_type
emlékszik	emléks	582875	cc
dolgozik	dolgoz	3627092	cvc
igyekszik	iḏeks	1372052	cc
bízik	bíz	324694	cvc
foglalkozik	foglalkoz	1809823	cvc
vágyik	váḏ	579400	cvc
gondolkodik	gondolkod	706718	cvc
játszik	játs	2672605	cc
lakik	lak	612717	cvc
iszik	is	651299	cvc
találkozik	találkoz	1857559	cvc
rendelkezik	rendelkez	2695227	cvc
alszik	als	668614	cc
törekszik	töreks	642126	cc
aggódik	aggód	341034	cvc
eszik	es	1320365	cvc
reménykedik	reméṉked	167707	cvc
jelentkezik	jelentkez	1317571	cvc
utazik	utaz	732800	cvc
csodálkozik	čodálkoz	200735	cvc
gondolkozik	gondolkoz	253771	cvc
esküszik	ešküsöm	82803	cvc
fekszik	feks	604506	cc
próbálkozik	próbálkoz	323025	cvc
haragszik	harags	129179	cc
dohányzik	doháṉz	67978	cc
imádkozik	imádkoz	319092	cvc
esik	eš	1885634	cvc
ragaszkodik	ragaskod	266576	cvc
álmodik	álmod	223489	cvc
nyilatkozik	ṉilatkoz	726058	cvc
válik	vál	4028540	cvc
származik	sármaz	596330	cvc
fázik	fáz	77143	cvc
érkezik	érkez	2258874	cvc
hajlik	hajl	62306	cc
érdeklődik	érdeklődök	362506	cvc
panaszkodik	panaskod	194071	cvc
elgondolkodik	elgondolkod	150401	cvc
fotózik	fotóz	141775	cvc
hazudik	hazud	206336	cvc
kételkedik	kételked	68084	cvc
tartózkodik	tartózkod	323534	cvc
tevékenykedik	tevékeṉked	159182	cvc
létezik	létez	1297361	cvc
lefekszik	lefeks	77895	cc
szándékozik	sándékoz	57854	cvc
öregszik	öregs	32240	cc
megiszik	megis	78887	cvc
gyanakszik	ḏanaks	68227	cc
asszik	ass	4781	cc
vállalkozik	vállalkoz	141984	cvc
megbízik	megbíz	19903	cvc
törődik	törődöm	206232	cvc
unatkozik	unatkoz	103069	cvc
gondoskodik	gondoškod	785316	cvc
ugrik	ugr	341439	cc
vitatkozik	vitatkoz	147337	cvc
elbúcsúzik	elbúčúz	51071	cvc
tetszik	tets	1498478	cc
tartozik	tartoz	2020739	cvc
vonzódik	vonzód	41981	cvc
hivatkozik	hivatkoz	508241	cvc
megpróbálkozik	megpróbálkoz	40149	cvc
cselekszik	čeleks	280658	cc
elalszik	elals	117095	cc
gyönyörködik	ḏöṉörködöm	112176	cvc
tűnik	tűnök	2079177	cvc
úszik	ús	228752	cvc
ismerkedik	išmerked	344220	cvc
kötődik	kötődöm	196259	cvc
költözik	költözöm	393996	cvc
megnyugszik	megṉugs	149114	cc
csatlakozik	čatlakoz	869608	cvc
működik	működöm	2488856	cvc
tűnődik	tűnődöm	27257	cvc
búcsúzik	búčúz	154036	cvc
viselkedik	višelked	307068	cvc
bújik	búj	143158	cvc
eltűnik	eltűnök	463226	cvc
mászik	más	135247	cvc
szórakozik	sórakoz	197402	cvc
változik	változ	1725689	cvc
megjelenik	megjelen	1539326	cvc
vadászik	vadás	98441	cvc
álmodozik	álmodoz	59984	cvc
kísérletezik	kíšérletez	111329	cvc
lepődik	lepődök	85788	cvc
megelégszik	megelégs	73754	cc
elutazik	elutaz	68075	cvc
küszködik	küsködök	65981	cvc
megérkezik	megérkez	504920	cvc
megeszik	meges	184016	cvc
fejlődik	fejlődök	554541	cvc
irtózik	irtóz	15667	cvc
étkezik	étkez	56160	cvc
nyugszik	ṉugs	200200	cc
támaszkodik	támaskod	198608	cvc
meglepődik	meglepődöm	136931	cvc
lepődik	lepődöm	85788	cvc
bemutatkozik	bemutatkoz	135930	cvc
barátkozik	barátkoz	50745	cvc
összedolgozik	össedolgoz	11939	cvc
látszik	láts	1217735	cc
nézelődik	nézelődök	56891	cvc
rácsodálkozik	ráčodálkoz	29068	cvc
kapaszkodik	kapaskod	113682	cvc
táplálkozik	táplálkoz	101962	cvc
tornázik	tornáz	32996	cvc
zongorázik	zongoráz	30452	cvc
hibázik	hibáz	154009	cvc
közlekedik	közleked	287338	cvc
fürdik	fürdök	88169	cvc
hiányzik	hiáṉz	686890	cc
hasonlik	hašonl	2084	cc
megúszik	megús	105262	cvc
meglepődik	meglepődök	136931	cvc
diétázik	diétáz	9816	cvc
eljátszik	eljáts	105134	cc
botlik	botl	41912	cc
bátorkodik	bátorkod	9746	cvc
közeledik	közeled	245136	cvc
küszködik	küsködöm	65981	cvc
jelenik	jelen	1647977	cvc
nézelődik	nézelődöm	56891	cvc
tiltakozik	tiltakoz	213776	cvc
elmélkedik	elmélked	48134	cvc
belebújik	belebúj	14151	cvc
elcsodálkozik	elčodálkoz	18110	cvc
bukik	buk	178435	cvc
eltűnődik	eltűnődöm	9739	cvc
hagyatkozik	haḏatkoz	65502	cvc
levelezik	levelez	24742	cvc
hízik	híz	63813	cvc
tájékozódik	tájékozód	282902	cvc
fejlődik	fejlődöm	554541	cvc
fohászkodik	foháskod	16804	cvc
ütközik	ütközöm	225302	cvc
törődik	törődök	206232	cvc
biciklizik	bicikliz	32166	cvc
dicsekszik	dičeks	46395	cc
jógázik	jógáz	7512	cvc
visszaemlékszik	vissaemléks	9861	cc
elmosolyodik	elmošojod	38443	cvc
munkálkodik	munkálkod	66126	cvc
szomjazik	somjaz	11680	cvc
vágyódik	váḏód	14271	cvc
öltözik	öltözöm	113660	cvc
csalódik	čalód	170163	cvc
feladatik	feladat	8073	cvc
vérzik	vérz	54196	cc
csúszik	čús	191096	cvc
alkalmazkodik	alkalmazkod	223170	cvc
undorodik	undorod	14293	cvc
túrázik	túráz	49897	cvc
érdeklődik	érdeklődöm	362506	cvc
bűnözik	bűnözök	5915	cvc
meghajlik	meghajl	7178	cc
beugrik	beugr	59130	cc
kínlódik	kínlód	23589	cvc
születik	sület	1768256	cvc
elesik	eleš	80705	cvc
működik	működök	2488856	cvc
öltözködik	öltözködöm	29838	cvc
elköltözik	elköltözöm	37530	cvc
költözik	költözök	393996	cvc
irigykedik	iriḏked	28990	cvc
beleegyezik	beleeḏez	68113	cvc
bizakodik	bizakod	30323	cvc
osztozik	ostoz	212384	cvc
rábízik	rábíz	1091	cvc
autózik	autóz	53397	cvc
megválik	megvál	47323	cvc
rágódik	rágód	21316	cvc
pályázik	pájáz	247923	cvc
tojik	toj	20901	cvc
kapcsolódik	kapčolód	635457	cvc
keveredik	kevered	181236	cvc
belebotlik	belebotl	15116	cc
vágyakozik	váḏakoz	33026	cvc
bocsátkozik	bočátkoz	24331	cvc
nekiesik	nekieš	18476	cvc
felöltözik	felöltözöm	33764	cvc
bosszankodik	bossankod	28274	cvc
emlékezik	emlékez	607896	cvc
megismerkedik	megišmerked	293063	cvc
focizik	fociz	50977	cvc
kanyarodik	kaṉarod	54424	cvc
kertészkedik	kertésked	14951	cvc
bénázik	bénáz	8505	cvc
kacérkodik	kacérkod	13978	cvc
cigizik	cigiz	11452	cvc
feltöltődik	feltöltődök	60593	cvc
adózik	adóz	58255	cvc
elválik	elvál	91022	cvc
megöregszik	megöregs	8217	cc
erőlködik	erőlködöm	26402	cvc
szorítkozik	sorítkoz	21720	cvc
folyik	foj	743029	cvc
elkésik	elkéš	30501	cvc
szopik	sop	56825	cvc
elbújik	elbúj	39781	cvc
fáradozik	fáradoz	40305	cvc
kszik	ks	1471	cc
ódzkodik	ódzkod	17257	cvc
teniszezik	tenisez	11338	cvc
ítélkezik	ítélkez	42419	cvc
reggelizik	reggeliz	37598	cvc
motorozik	motoroz	29136	cvc
együttműködik	eḏüttműködöm	322685	cvc
íratik	írat	29583	cvc
öltözik	öltözök	113660	cvc
idegenkedik	idegenked	24833	cvc
elégszik	elégs	184225	cc
zárkózik	zárkóz	34767	cvc
várakozik	várakoz	96850	cvc
birkózik	birkóz	38668	cvc
feltöltődik	feltöltődöm	60593	cvc
hisztizik	histiz	19664	cvc
illik	ill	433674	cc
vélekedik	véleked	123148	cvc
leugrik	leugr	20637	cc
ütközik	ütközök	225302	cvc
szomorkodik	somorkod	22613	cvc
távozik	távoz	362436	cvc
helyezkedik	hejezked	435311	cvc
okoskodik	okoškod	23651	cvc
vizsgázik	vižgáz	61681	cvc
bejelentkezik	bejelentkez	121113	cvc
kiugrik	kiugr	44181	cc
idegeskedik	idegešked	17271	cvc
képzelődik	képzelődöm	5210	cvc
beledöglik	beledöglök	4535	cvc
elgondolkozik	elgondolkoz	59097	cvc
felmászik	felmás	42622	cvc
mutatkozik	mutatkoz	386251	cvc
döglik	döglök	21538	cvc
bringázik	bringáz	17885	cvc
elérkezik	elérkez	134710	cvc
felíratik	felírat	2450	cvc
kereskedik	kerešked	48423	cvc
veszekszik	veseks	39570	cc
vacsorázik	vačoráz	50661	cvc
elbizonytalanodik	elbizoṉtalanod	29628	cvc
következik	következ	1151088	cvc
kidolgozik	kidolgoz	661	cvc
építkezik	építkez	78659	cvc
ábrándozik	ábrándoz	18385	cvc
nyílik	ṉíl	769981	cvc
megfeledkezik	megfeledkez	91723	cvc
gazdálkodik	gazdálkod	93581	cvc
megváltozik	megváltoz	681859	cvc
beleesik	beleeš	34205	cvc
fórumozik	fórumoz	2573	cvc
engedelmeskedik	engedelmešked	75413	cvc
készülődik	késülődök	53599	cvc
eldolgozik	eldolgoz	4586	cvc
foglakozik	foglakoz	7136	cvc
lelkesedik	lelkešed	33550	cvc
vitázik	vitáz	23295	cvc
befekszik	befeks	30623	cc
kávézik	kávéz	24144	cvc
káromkodik	káromkod	23314	cvc
áhítozik	áhítoz	9214	cvc
nekiugrik	nekiugr	6865	cc
felugrik	felugr	32060	cc
megbirkózik	megbirkóz	60327	cvc
ráérzik	ráérz	783	cc
készülődik	késülődöm	53599	cvc
tévézik	tévéz	14352	cvc
baszik	bas	37569	cvc
internetezik	internetez	18384	cvc
feldolgozik	feldolgoz	571	cvc
hazautazik	hazautaz	13619	cvc
sodródik	šodród	50915	cvc
gyötrődik	ḏötrődöm	7873	cvc
hülyéskedik	hüjéšked	8587	cvc
kutakodik	kutakod	25692	cvc
bebújik	bebúj	11028	cvc
viseltetik	višeltet	13150	cvc
kötődik	kötődök	196259	cvc
kedveskedik	kedvešked	70883	cvc
megesküszik	megešküsöm	13269	cvc
szűkölködik	sűkölködöm	10233	cvc
megnyílik	megṉíl	149260	cvc
bulizik	buliz	60562	cvc
összeesik	össeeš	24999	cvc
időzik	időzök	35735	cvc
igazodik	igazod	195863	cvc
elbánik	elbán	15557	cvc
forgolódik	forgolód	18063	cvc
lélegzik	lélegz	82329	cc
megdöglik	megdöglök	11606	cvc
átöltözik	átöltözöm	16761	cvc
