variation	base	category	suffix	input	output1	output
cselekszenek/cselekednek	dolgozik	low	nek	dolgoziK	dolgoznak	dolgoznVk
cselekszenek/cselekednek	tartozik	low	nek	tartoziK	tartoznak	tartoznVk
cselekszenek/cselekednek	válik	low	nek	váliK	válnak	válnVk
cselekszenek/cselekednek	jelenik	low	nek	jeleniK	jelennek	jelennVk
cselekszenek/cselekednek	érkezik	low	tek	érkeziK	érkeztek	érkeztVk
cselekszenek/cselekednek	működik	low	nek	működiK	működnek	működnVk
cselekszenek/cselekednek	játszik	high	nek	játsiK	játsanak	játsVnVk
cselekszenek/cselekednek	érkezik	low	nek	érkeziK	érkeznek	érkeznVk
cselekszenek/cselekednek	találkozik	low	ünk	találkoziK	találkozunk	találkozVnk
cselekszenek/cselekednek	létezik	low	nek	léteziK	léteznek	léteznVk
cselekszenek/cselekednek	dolgozik	low	ünk	dolgoziK	dolgozunk	dolgozVnk
cselekszenek/cselekednek	vonatkozik	low	nek	vonatkoziK	vonatkoznak	vonatkoznVk
cselekszenek/cselekednek	jelenik	low	tek	jeleniK	jelentek	jelentVk
cselekszenek/cselekednek	igyekszik	high	ünk	iḏeksiK	iḏeksünk	iḏeksVnk
cselekszenek/cselekednek	igyekszik	low	ünk	iḏeksiK	iḏeksünk	iḏeksVnk
cselekszenek/cselekednek	igyekszik	high	nek	iḏeksiK	iḏekeznek	iḏekeznVk
cselekszenek/cselekednek	igyekszik	low	nek	iḏeksiK	iḏekeznek	iḏekeznVk
cselekszenek/cselekednek	történik	low	tek	történiK	történtek	történtVk
cselekszenek/cselekednek	születik	low	tek	sületiK	sülettek	sülettVk
cselekszenek/cselekednek	osztozik	low	nek	ostoziK	ostoznak	ostoznVk
cselekszenek/cselekednek	tűnik	low	nek	tűniK	tűnnek	tűnnVk
cselekszenek/cselekednek	változik	low	nek	változiK	változnak	változnVk
cselekszenek/cselekednek	igyekszik	high	tek	iḏeksiK	iḏekeztek	iḏekeztVk
cselekszenek/cselekednek	igyekszik	low	tek	iḏeksiK	iḏekeztek	iḏekeztVk
cselekszenek/cselekednek	találkozik	low	nek	találkoziK	találkoznak	találkoznVk
cselekszenek/cselekednek	származik	low	nek	sármaziK	sármaznak	sármaznVk
cselekszenek/cselekednek	esik	low	nek	ešiK	ešnek	ešnVk
cselekszenek/cselekednek	esik	low	tek	ešiK	eštek	eštVk
cselekszenek/cselekednek	törekszik	high	ünk	töreksiK	töreksünk	töreksVnk
cselekszenek/cselekednek	törekszik	low	ünk	töreksiK	töreksünk	töreksVnk
cselekszenek/cselekednek	történik	low	nek	történiK	történnek	történnVk
cselekszenek/cselekednek	zajlik	high	nek	zajliK	zajlanak	zajlVnVk
cselekszenek/cselekednek	születik	low	nek	sületiK	sületnek	sületnVk
cselekszenek/cselekednek	emlékezik	low	ünk	emlékeziK	emlékezünk	emlékezVnk
cselekszenek/cselekednek	emlékezik	low	nek	emlékeziK	emlékeznek	emlékeznVk
cselekszenek/cselekednek	hiányzik	high	nek	hiáṉziK	hiáṉoznak	hiáṉoznVk
cselekszenek/cselekednek	folyik	low	nek	fojiK	fojnak	fojnVk
cselekszenek/cselekednek	látszik	high	nek	látsiK	látsanak	látsVnVk
cselekszenek/cselekednek	emlékezik	low	tek	emlékeziK	emlékeztek	emlékeztVk
cselekszenek/cselekednek	lakik	low	nek	lakiK	laknak	laknVk
cselekszenek/cselekednek	kezdődik	low	nek	kezdődiK	kezdődnek	kezdődnVk
cselekszenek/cselekednek	játszik	high	ünk	játsiK	játsunk	játsVnk
cselekszenek/cselekednek	következik	low	nek	következiK	következnek	következnVk
cselekszenek/cselekednek	bízik	low	nek	bíziK	bíznak	bíznVk
cselekszenek/cselekednek	vágyik	low	nek	váḏiK	váḏnak	váḏnVk
cselekszenek/cselekednek	eszik	low	ünk	esiK	esünk	esVnk
cselekszenek/cselekednek	eszik	low	nek	esiK	esnek	esnVk
cselekszenek/cselekednek	közlekedik	low	nek	közlekediK	közlekednek	közlekednVk
cselekszenek/cselekednek	keletkezik	low	nek	keletkeziK	keletkeznek	keletkeznVk
cselekszenek/cselekednek	emelkedik	low	tek	emelkediK	emelkedtek	emelkedtVk
cselekszenek/cselekednek	utazik	low	ünk	utaziK	utazunk	utazVnk
cselekszenek/cselekednek	érkezik	low	ünk	érkeziK	érkezünk	érkezVnk
cselekszenek/cselekednek	nyílik	low	nek	ṉíliK	ṉílnak	ṉílnVk
cselekszenek/cselekednek	tetszik	high	nek	tetsiK	tetsenek	tetsVnVk
cselekszenek/cselekednek	tetszik	low	nek	tetsiK	tetsenek	tetsVnVk
cselekszenek/cselekednek	telik	low	tek	teliK	teltek	teltVk
cselekszenek/cselekednek	utazik	low	nek	utaziK	utaznak	utaznVk
cselekszenek/cselekednek	fejlődik	low	nek	fejlődiK	fejlődnek	fejlődnVk
cselekszenek/cselekednek	tartozik	low	ünk	tartoziK	tartozunk	tartozVnk
cselekszenek/cselekednek	vágyik	low	ünk	váḏiK	váḏunk	váḏVnk
cselekszenek/cselekednek	mutatkozik	low	nek	mutatkoziK	mutatkoznak	mutatkoznVk
cselekszenek/cselekednek	következik	low	tek	következiK	következtek	következtVk
cselekszenek/cselekednek	viselkedik	low	nek	višelkediK	višelkednek	višelkednVk
cselekszenek/cselekednek	érdeklődik	low	nek	érdeklődiK	érdeklődnek	érdeklődnVk
cselekszenek/cselekednek	emelkedik	low	nek	emelkediK	emelkednek	emelkednVk
cselekszenek/cselekednek	keletkezik	low	tek	keletkeziK	keletkeztek	keletkeztVk
cselekszenek/cselekednek	telik	low	nek	teliK	telnek	telnVk
cselekszenek/cselekednek	kötődik	low	nek	kötődiK	kötődnek	kötődnVk
cselekszenek/cselekednek	válik	low	ünk	váliK	válunk	válVnk
cselekszenek/cselekednek	törekszik	high	nek	töreksiK	törekednek	törekednVk
cselekszenek/cselekednek	törekszik	low	nek	töreksiK	törekednek	törekednVk
cselekszenek/cselekednek	sorakozik	low	nek	šorakoziK	šorakoznak	šorakoznVk
cselekszenek/cselekednek	hivatkozik	low	nek	hivatkoziK	hivatkoznak	hivatkoznVk
cselekszenek/cselekednek	alszik	high	nek	alsiK	alsanak	alsVnVk
cselekszenek/cselekednek	alszik	low	nek	alsiK	alsanak	alsVnVk
cselekszenek/cselekednek	adódik	low	nek	adódiK	adódnak	adódnVk
cselekszenek/cselekednek	emlékszik	high	ünk	emléksiK	emléksünk	emléksVnk
cselekszenek/cselekednek	emlékszik	low	ünk	emléksiK	emléksünk	emléksVnk
cselekszenek/cselekednek	létezik	low	tek	léteziK	léteztek	léteztVk
cselekszenek/cselekednek	szaporodik	low	nek	saporodiK	saporodnak	saporodnVk
cselekszenek/cselekednek	iszik	low	nek	isiK	isnak	isnVk
cselekszenek/cselekednek	törekszik	high	nek	töreksiK	töreksenek	töreksVnVk
