base	variation	lemma_freq_corrected	string	log_odds	ranef
ábrándozik	lakok/lakom	18385	ábrándoz	-0.7626077789029448	NA
adakozik	lakok/lakom	17936	adakoz	0.0685983163427522	NA
adaptálódik	lakok/lakom	4014	adaptálód	0.3184537311185346	NA
adódik	lakok/lakom	313753	adód	1.4271163556401458	NA
adósodik	lakok/lakom	5682	adóšod	0	NA
ágaskodik	lakok/lakom	5740	ágaškod	-1.0986122886681098	NA
aggódik	lakok/lakom	341034	aggód	-1.6334419743962834	NA
áhítozik	lakok/lakom	9214	áhítoz	-1.9960599327407849	NA
ajánlkozik	lakok/lakom	4605	ajánlkoz	-2.1972245773362196	NA
akaszkodik	lakok/lakom	2721	akaskod	-0.916290731874155	NA
alkudik	lakok/lakom	17918	alkud	2.268683541318364	NA
alkudozik	lakok/lakom	14494	alkudoz	-0.576783591557788	NA
alkuszik	lakok/lakom	17918	alkus	-4.339467020255086	NA
állomásozik	lakok/lakom	17398	állomášoz	-1.128465251817791	NA
álmélkodik	lakok/lakom	5761	álmélkod	-1.410986973710262	NA
álmodik	lakok/lakom	223489	álmod	-1.2634877150200536	NA
álmodozik	lakok/lakom	59984	álmodoz	-1.5958374005640366	NA
alszik	lakok/lakom	668614	als	-2.0171719084123705	NA
aluszik	lakok/lakom	668614	alus	-1.8294997972109024	NA
ámuldozik	lakok/lakom	3333	ámuldoz	0.15415067982725836	NA
árulkodik	lakok/lakom	62655	árulkod	0.14310084364067324	NA
ásítozik	lakok/lakom	3555	ášítoz	0.13133600206108695	NA
aszalódik	lakok/lakom	2207	asalód	0.2047944126460132	NA
aszik	lakok/lakom	5633	as	1.9061698204057993	NA
átkozódik	lakok/lakom	3739	átkozód	-1.4718165345580525	NA
autókázik	lakok/lakom	2943	autókáz	0.4567584024957149	NA
autózik	lakok/lakom	53397	autóz	-0.6922293282697164	NA
avatkozik	lakok/lakom	45734	avatkoz	-1.16538046513295	NA
bábáskodik	lakok/lakom	5536	bábáškod	-0.9315582040049436	NA
bajlódik	lakok/lakom	39724	bajlód	-0.01063839820505575	NA
bakizik	lakok/lakom	1995	bakiz	0.5798184952529422	NA
balhézik	lakok/lakom	6131	balhéz	2.9356283494842854	NA
bámészkodik	lakok/lakom	6070	báméskod	-0.19574457712609536	NA
bánkódik	lakok/lakom	14891	bánkód	-1.1786549963416462	NA
barátkozik	lakok/lakom	50745	barátkoz	-1.9469017207776085	NA
bátorkodik	lakok/lakom	9746	bátorkod	-2.5479051599595977	NA
berzenkedik	lakok/lakom	3632	berzenked	-0.23841102344499823	NA
betegszik	lakok/lakom	9223	betegs	-2.094945728215801	NA
bíbelődik	lakok/lakom	14471	bíbelőd	-0.12878078986592484	NA
bíráskodik	lakok/lakom	3616	bíráškod	-1.5163474893680884	NA
birkózik	lakok/lakom	38668	birkóz	-0.8381653768239311	NA
bizakodik	lakok/lakom	30323	bizakod	-0.9167360669961888	NA
bízik	lakok/lakom	1037991	bíz	-2.252118805622328	NA
bizonyosodik	lakok/lakom	29527	bizoṉošod	-0.16126814759612226	NA
bocsátkozik	lakok/lakom	24331	bočátkoz	-2.6508917872622613	NA
bogarászik	lakok/lakom	9264	bogarás	0.17486281150627853	NA
bohóckodik	lakok/lakom	10687	bohóckod	0.3184537311185346	NA
bóklászik	lakok/lakom	13080	bóklás	0.0594234204708008	NA
bonyolódik	lakok/lakom	34776	boṉolód	-0.24027983355719704	NA
bosszankodik	lakok/lakom	28274	bossankod	-0.7715162476754521	NA
botladozik	lakok/lakom	8796	botladoz	-0.37662955846827706	NA
botlik	lakok/lakom	41912	botl	2.1459903514386	NA
botránkozik	lakok/lakom	3482	botránkoz	-0.9707789171582248	NA
bővelkedik	lakok/lakom	38446	bővelked	-1.041453874828161	NA
búcsúzkodik	lakok/lakom	3282	búčúzkod	-1.890850371872286	NA
búcsúzik	lakok/lakom	154036	búčúz	-1.9697291385195523	NA
bujdosik	lakok/lakom	4942	bujdoš	1.3470736479666094	NA
bújócskázik	lakok/lakom	3783	bújóčkáz	0.5798184952529422	NA
bukfencezik	lakok/lakom	3043	bukfencez	1.1349799328389845	NA
bűnhődik	lakok/lakom	9169	bűnhőd	-0.9279867716373464	NA
búslakodik	lakok/lakom	8087	búšlakod	-0.7969439742415888	NA
büszkélkedik	lakok/lakom	84413	büskélked	-0.6074917359814515	NA
búvárkodik	lakok/lakom	10030	búvárkod	-0.6234672599219555	NA
bűvészkedik	lakok/lakom	3597	bűvésked	0.3566749439387324	NA
cikkezik	lakok/lakom	14162	cikkez	1.7346010553881064	NA
cipekedik	lakok/lakom	4233	cipeked	1.5224265354444706	NA
cipekszik	lakok/lakom	4233	cipeks	-0.2231435513142097	NA
csalatkozik	lakok/lakom	4769	čalatkoz	-2.7327428136925813	NA
csalódik	lakok/lakom	170163	čalód	0.37394912488155346	NA
csapódik	lakok/lakom	59286	čapód	0.561377902928822	NA
csatlakozik	lakok/lakom	869608	čatlakoz	-0.6032716444928523	NA
csavarodik	lakok/lakom	9265	čavarod	1.0414538748281612	NA
cselekszik	lakok/lakom	280658	čeleks	-2.5682551455960363	NA
csendesedik	lakok/lakom	6494	čendešed	1.466337068793427	NA
csigázik	lakok/lakom	4081	čigáz	0.08515780834030677	NA
csimpaszkodik	lakok/lakom	4352	čimpaskod	-0.9963334395476916	NA
csiszolódik	lakok/lakom	6459	čisolód	-0.3677247801253174	NA
csodálkozik	lakok/lakom	200735	čodálkoz	-2.2084654108101	NA
csókolózik	lakok/lakom	18284	čókolóz	-0.8915981192837836	NA
csónakázik	lakok/lakom	6485	čónakáz	1.540445040947149	NA
csuklik	lakok/lakom	6520	čukl	1.4240346891027378	NA
csúszik	lakok/lakom	191096	čús	0.927211277220816	NA
dicsekszik	lakok/lakom	46395	dičeks	-3.521446509813732	NA
diétázik	lakok/lakom	18417	diétáz	-1.2297935039476786	NA
dobálódzik	lakok/lakom	12200	dobálódz	0.6418538861723947	NA
döglődik	lakok/lakom	2107	döglőd	0.2436220826577505	NA
dohányzik	lakok/lakom	67978	doháṉz	-2.4169461860947936	NA
dolgozik	lakok/lakom	3627092	dolgoz	-1.9771405288423716	NA
dörgölőzik	lakok/lakom	3938	dörgölőz	0.6931471805599453	NA
dudorászik	lakok/lakom	3096	dudorás	-0.13580154115906176	NA
ébredezik	lakok/lakom	10153	ébredez	1.791759469228055	NA
edzik	lakok/lakom	183810	edz	1.2992829841302609	NA
edződik	lakok/lakom	7138	edződ	-1.3268709406490895	NA
