segment1	a	á	b	c	č	ç	d	e	é	f	g	h	i	í	j	ʝ	k	l	m	n	ɲ	o	ó	ö	ő	p	r	s	š	t	u	ú	ü	ű	v	z	ž
a	0	0.5833333333333333	0.9696969696969697	0.9736842105263158	0.972972972972973	0.9722222222222222	0.9767441860465116	0.6296296296296298	0.8064516129032258	0.9333333333333333	0.9259259259259259	0.9047619047619048	0.8181818181818181	0.8857142857142857	0.9333333333333333	0.9761904761904762	0.92	0.935483870967742	0.9655172413793104	0.9722222222222222	0.9722222222222222	0.6206896551724138	0.7878787878787878	0.8378378378378378	0.8974358974358975	0.9666666666666667	0.935483870967742	0.9459459459459459	0.9459459459459459	0.9736842105263158	0.7741935483870968	0.8484848484848485	0.8974358974358975	0.925	0.9259259259259259	0.95	0.95
á	0.5833333333333333	0	0.9696969696969697	0.9736842105263158	0.972972972972973	0.9722222222222222	0.9767441860465116	0.8064516129032258	0.6296296296296298	0.9333333333333333	0.9259259259259259	0.9047619047619048	0.8857142857142857	0.8181818181818181	0.9333333333333333	0.9761904761904762	0.92	0.935483870967742	0.9655172413793104	0.9722222222222222	0.9722222222222222	0.7878787878787878	0.6206896551724138	0.8974358974358975	0.8378378378378378	0.9666666666666667	0.935483870967742	0.9459459459459459	0.9459459459459459	0.9736842105263158	0.8484848484848485	0.7741935483870968	0.925	0.8974358974358975	0.9259259259259259	0.95	0.95
b	0.9696969696969697	0.9696969696969697	0	0.8529411764705882	0.8484848484848485	0.84375	0.7428571428571429	0.9722222222222222	0.9722222222222222	0.7692307692307692	0.55	0.85	0.9736842105263158	0.9736842105263158	0.9333333333333333	0.7352941176470589	0.7727272727272727	0.935483870967742	0.5	0.84375	0.84375	0.9473684210526316	0.9473684210526316	0.9512195121951219	0.9512195121951219	0.5238095238095238	0.935483870967742	0.9166666666666666	0.9166666666666666	0.8529411764705882	0.9444444444444444	0.9444444444444444	0.9512195121951219	0.9512195121951219	0.7391304347826086	0.8648648648648649	0.8648648648648649
c	0.9736842105263158	0.9736842105263158	0.8529411764705882	0	0.4642857142857143	0.09090909090909083	0.6	0.95	0.95	0.8787878787878788	0.8275862068965517	0.88	0.9523809523809524	0.9523809523809524	0.8787878787878788	0.736842105263158	0.72	0.8484848484848485	0.90625	0.7647058823529412	0.8333333333333334	0.9772727272727273	0.9772727272727273	0.9565217391304348	0.9565217391304348	0.7586206896551724	0.8484848484848485	0.6666666666666667	0.7777777777777778	0.16666666666666663	0.9761904761904762	0.9761904761904762	0.9565217391304348	0.9565217391304348	0.9375	0.7948717948717949	0.8536585365853658
č	0.972972972972973	0.972972972972973	0.8484848484848485	0.4642857142857143	0	0.4814814814814815	0.736842105263158	0.9487179487179487	0.9487179487179487	0.875	0.8214285714285714	0.875	0.9512195121951219	0.9512195121951219	0.8387096774193549	0.5757575757575757	0.7083333333333333	0.8787878787878788	0.9032258064516129	0.8285714285714285	0.7575757575757576	0.9767441860465116	0.9767441860465116	0.9555555555555556	0.9555555555555556	0.75	0.8787878787878788	0.7714285714285715	0.65625	0.5172413793103448	0.975609756097561	0.975609756097561	0.9555555555555556	0.9555555555555556	0.935483870967742	0.85	0.7894736842105263
ç	0.9722222222222222	0.9722222222222222	0.84375	0.09090909090909083	0.4814814814814815	0	0.5757575757575757	0.9473684210526316	0.9473684210526316	0.8709677419354839	0.8148148148148149	0.8695652173913043	0.95	0.95	0.8709677419354839	0.7222222222222222	0.6956521739130435	0.8387096774193549	0.9	0.75	0.8235294117647058	0.9761904761904762	0.9761904761904762	0.9545454545454546	0.9545454545454546	0.7407407407407407	0.8387096774193549	0.6451612903225806	0.7647058823529412	0.09090909090909083	0.975	0.975	0.9545454545454546	0.9545454545454546	0.9333333333333333	0.7837837837837838	0.8461538461538461
d	0.9767441860465116	0.9767441860465116	0.7428571428571429	0.6	0.736842105263158	0.5757575757575757	0	0.9555555555555556	0.9555555555555556	0.9230769230769231	0.7	0.9	0.9574468085106383	0.9574468085106383	0.8947368421052632	0.48571428571428577	0.84375	0.868421052631579	0.8571428571428572	0.5757575757575757	0.7297297297297297	0.9795918367346939	0.9795918367346939	0.9607843137254902	0.9607843137254902	0.8611111111111112	0.868421052631579	0.8048780487804879	0.8604651162790697	0.5588235294117647	0.9787234042553191	0.9787234042553191	0.9607843137254902	0.9607843137254902	0.9166666666666666	0.631578947368421	0.7619047619047619
e	0.6296296296296298	0.8064516129032258	0.9722222222222222	0.95	0.9487179487179487	0.9473684210526316	0.9555555555555556	0	0.5714285714285714	0.9393939393939394	0.967741935483871	0.9166666666666666	0.6	0.7647058823529412	0.8709677419354839	0.9545454545454546	0.9655172413793104	0.875	0.96875	0.9473684210526316	0.9473684210526316	0.8378378378378378	0.8974358974358975	0.6470588235294117	0.7894736842105263	0.9696969696969697	0.875	0.8947368421052632	0.8947368421052632	0.95	0.8918918918918919	0.9210526315789473	0.7894736842105263	0.85	0.9333333333333333	0.9024390243902439	0.9024390243902439
é	0.8064516129032258	0.6296296296296298	0.9722222222222222	0.95	0.9487179487179487	0.9473684210526316	0.9555555555555556	0.5714285714285714	0	0.9393939393939394	0.967741935483871	0.9166666666666666	0.7647058823529412	0.6	0.8709677419354839	0.9545454545454546	0.9655172413793104	0.875	0.96875	0.9473684210526316	0.9473684210526316	0.8974358974358975	0.8378378378378378	0.7894736842105263	0.6470588235294117	0.9696969696969697	0.875	0.8947368421052632	0.8947368421052632	0.95	0.9210526315789473	0.8918918918918919	0.85	0.7894736842105263	0.9333333333333333	0.9024390243902439	0.9024390243902439
f	0.9333333333333333	0.9333333333333333	0.7692307692307692	0.8787878787878788	0.875	0.8709677419354839	0.9230769230769231	0.9393939393939394	0.9393939393939394	0	0.875	0.6	0.9428571428571428	0.9428571428571428	0.8461538461538461	0.9210526315789473	0.8095238095238095	0.8518518518518519	0.8333333333333334	0.9393939393939394	0.9393939393939394	0.8823529411764706	0.8823529411764706	0.8918918918918919	0.8918918918918919	0.6190476190476191	0.8518518518518519	0.7241379310344828	0.7241379310344828	0.8787878787878788	0.875	0.875	0.8918918918918919	0.8918918918918919	0.5789473684210527	0.8235294117647058	0.8235294117647058
g	0.9259259259259259	0.9259259259259259	0.55	0.8275862068965517	0.8214285714285714	0.8148148148148149	0.7	0.967741935483871	0.967741935483871	0.875	0	0.8	0.9696969696969697	0.9696969696969697	0.92	0.6896551724137931	0.5333333333333333	0.9230769230769231	0.75	0.8148148148148149	0.8148148148148149	0.9393939393939394	0.9393939393939394	0.972972972972973	0.972972972972973	0.7619047619047619	0.9230769230769231	0.9032258064516129	0.9032258064516129	0.8275862068965517	0.935483870967742	0.935483870967742	0.972972972972973	0.972972972972973	0.8571428571428572	0.84375	0.84375
